longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,log_housing_median_age,log_total_rooms,log_total_bedrooms,log_population,log_households,log_median_income,log_median_house_value
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,3.7135720667043075,6.779921907472252,4.859812404361672,5.7745515455444085,4.836281906951478,2.1192870596019593,13.022764012181574
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,3.044522437723423,8.867709208039386,7.0085051820822795,7.783640596221253,7.037027614686276,2.11642417527737,12.789683939021812
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,3.951243718581427,7.2909747781429814,5.247024072160486,6.206575926724927,5.176149732573829,1.9820216379722524,12.771670505143144
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,3.951243718581427,7.149916836132109,5.459585514144159,6.324358962381311,5.389071729816501,1.730433559900339,12.740517134894798
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,3.951243718581427,7.394493107219038,5.634789603169249,6.33682573114644,5.556828061699537,1.3470856478946098,12.74315064044023
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,3.951243718581427,6.823286122355687,5.361292165709425,6.023447592961032,5.262690188904886,1.3954522989046563,12.505065509127821
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,3.951243718581427,7.837948916025283,6.1923624894748714,6.9975959829819265,6.242223265455165,1.2972172155351651,12.60886752508246
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,3.951243718581427,8.04044688130311,6.532334292222349,7.053585727193676,6.4723462945009,1.137833001821391,12.394210587645567
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,3.737669618283368,7.845807502637805,6.499787040655854,7.09506437728713,6.388561405545629,0.7325601829167804,12.33138283649562
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,3.951243718581427,8.174421152646497,6.561030665896572,7.346655163176538,6.570882962339584,1.3059516084373521,12.47265875468722
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,3.951243718581427,7.697121317282625,6.073044534100404,6.813444599510896,5.996452088619021,1.1641190908702292,12.547887726561882
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,3.951243718581427,8.161375023197486,6.62273632394984,7.3158835045097845,6.598509028614515,1.1849428784191303,12.39586621716283
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,3.951243718581427,7.82043951526218,6.161207321695076,7.001245622069476,6.148468295917646,1.1233049012584813,12.271392111650815
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,3.951243718581427,6.545349660334419,5.25227342804663,5.843544417031359,5.159055299214529,0.9834258788589921,12.161598155428344
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,3.951243718581427,7.879669914604289,6.439350371100098,7.10002716662926,6.429719478039137,0.6506049572942703,11.977916552392418
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,3.912023005428146,7.02108396428914,5.645446897643238,6.546785410760524,5.575949103146316,0.7537718023763801,11.84939770159144
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,3.951243718581427,7.583756300707112,5.849324779946859,6.675823221634848,5.802118375377063,1.0206507471983977,11.934919875029603
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,3.951243718581427,7.113142108707088,5.680172609017067,6.473890696352274,5.713732805509369,0.7515104238568603,11.954401010601426
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,3.912023005428146,7.713784616598755,6.12029741895095,6.897704943128636,6.037870919922137,0.6886872498378519,11.9747709065145
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,3.951243718581427,7.315218389752975,5.697093486505405,6.536691597591305,5.616771097666571,0.9567798710042006,12.000891794590135
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,3.6888794541139363,6.621405651764134,5.214935757608986,6.013715156042801,5.111987788356543,0.3058657428854095,11.901583454762012
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,3.737669618283368,7.401841578743829,5.90536184805457,6.834108738813838,5.902633333401366,0.5385380623325264,11.981678312314312
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,3.951243718581427,7.798112628829787,6.293419278846481,6.922643891475888,6.1696107324914555,0.5452270504833231,11.643076149435274
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,3.951243718581427,7.431299675155902,5.820082930352362,6.748759547491679,5.783825182329737,0.7796000682901444,11.50992095594993
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,3.951243718581427,7.707062655370473,6.07993319509559,6.913737350659685,6.045005314036011,0.9555114450274363,11.7950923567339
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,3.7135720667043075,6.282266746896006,4.812184355372417,5.75890177387728,4.77912349311153,0.8770508185365513,11.585246126549855
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,3.8918202981106265,7.029972911706386,5.497168225293201,6.408528791059498,5.47646355193151,0.9000393912881047,11.448920134994315
