longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,housing_median_age.1,total_rooms.1,population.1,households.1,median_income.1,housing_median_age^2,housing_median_age total_rooms,housing_median_age population,housing_median_age households,housing_median_age median_income,total_rooms^2,total_rooms population,total_rooms households,total_rooms median_income,population^2,population households,population median_income,households^2,households median_income,median_income^2,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-117.03,32.71,33.0,3126.0,627.0,2300.0,623.0,3.2596,103000.0,33.0,3126.0,2300.0,623.0,3.2596,1089.0,103158.0,75900.0,20559.0,107.5668,9771876.0,7189800.0,1947498.0,10189.5096,5290000.0,1432900.0,7497.08,388129.0,2030.7308,10.62499216,0,0,0,0,1
-118.16,33.77,49.0,3382.0,787.0,1314.0,756.0,3.8125,382100.0,49.0,3382.0,1314.0,756.0,3.8125,2401.0,165718.0,64386.0,37044.0,186.8125,11437924.0,4443948.0,2556792.0,12893.875,1726596.0,993384.0,5009.625,571536.0,2882.25,14.53515625,0,0,0,0,1
-120.48,34.66,4.0,1897.0,331.0,915.0,336.0,4.1563,172600.0,4.0,1897.0,915.0,336.0,4.1563,16.0,7588.0,3660.0,1344.0,16.6252,3598609.0,1735755.0,637392.0,7884.501099999999,837225.0,307440.0,3803.0145,112896.0,1396.5168,17.27482969,0,0,0,0,1
-117.11,32.69,36.0,1421.0,367.0,1418.0,355.0,1.9425,93400.0,36.0,1421.0,1418.0,355.0,1.9425,1296.0,51156.0,51048.0,12780.0,69.92999999999999,2019241.0,2014978.0,504455.0,2760.2925,2010724.0,503390.0,2754.465,126025.0,689.5875,3.77330625,0,0,0,0,1
-119.8,36.78,43.0,2382.0,431.0,874.0,380.0,3.5542,96500.0,43.0,2382.0,874.0,380.0,3.5542,1849.0,102426.0,37582.0,16340.0,152.8306,5673924.0,2081868.0,905160.0,8466.1044,763876.0,332120.0,3106.3708,144400.0,1350.596,12.63233764,0,1,0,0,0
-121.86,37.42,20.0,5032.0,808.0,2695.0,801.0,6.6227,264800.0,20.0,5032.0,2695.0,801.0,6.6227,400.0,100640.0,53900.0,16020.0,132.454,25321024.0,13561240.0,4030632.0,33325.4264,7263025.0,2158695.0,17848.1765,641601.0,5304.7827,43.86015529,1,0,0,0,0
-117.97,34.04,28.0,1686.0,417.0,1355.0,388.0,2.5192,157300.0,28.0,1686.0,1355.0,388.0,2.5192,784.0,47208.0,37940.0,10864.0,70.5376,2842596.0,2284530.0,654168.0,4247.3712000000005,1836025.0,525740.0,3413.516,150544.0,977.4496,6.346368640000001,1,0,0,0,0
-122.53,37.91,37.0,2524.0,398.0,999.0,417.0,7.9892,500001.0,37.0,2524.0,999.0,417.0,7.9892,1369.0,93388.0,36963.0,15429.0,295.60040000000004,6370576.0,2521476.0,1052508.0,20164.7408,998001.0,416583.0,7981.210800000001,173889.0,3331.4964,63.82731664000001,0,0,0,1,0
-117.9,34.13,5.0,1126.0,316.0,819.0,311.0,1.5,139800.0,5.0,1126.0,819.0,311.0,1.5,25.0,5630.0,4095.0,1555.0,7.5,1267876.0,922194.0,350186.0,1689.0,670761.0,254709.0,1228.5,96721.0,466.5,2.25,1,0,0,0,0
-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,315600.0,5.0,18690.0,9427.0,2777.0,6.4266,25.0,93450.0,47135.0,13885.0,32.133,349316100.0,176190630.0,51902130.0,120113.154,88868329.0,26178779.0,60583.5582,7711729.0,17846.6682,41.30118756,1,0,0,0,0
-122.45,37.72,52.0,982.0,197.0,653.0,171.0,4.2167,231900.0,52.0,982.0,653.0,171.0,4.2167,2704.0,51064.0,33956.0,8892.0,219.2684,964324.0,641246.0,167922.0,4140.7994,426409.0,111663.0,2753.5051000000003,29241.0,721.0557,17.780558890000002,0,0,0,1,0
-118.35,33.97,25.0,1864.0,616.0,1710.0,575.0,2.2303,159400.0,25.0,1864.0,1710.0,575.0,2.2303,625.0,46600.0,42750.0,14375.0,55.75750000000001,3474496.0,3187440.0,1071800.0,4157.2792,2924100.0,983250.0,3813.813,330625.0,1282.4225,4.974238090000001,1,0,0,0,0
-119.72,37.46,13.0,1999.0,375.0,750.0,308.0,2.875,96000.0,13.0,1999.0,750.0,308.0,2.875,169.0,25987.0,9750.0,4004.0,37.375,3996001.0,1499250.0,615692.0,5747.125,562500.0,231000.0,2156.25,94864.0,885.5,8.265625,0,1,0,0,0
-121.88,37.33,36.0,1904.0,689.0,3561.0,632.0,2.0972,187500.0,36.0,1904.0,3561.0,632.0,2.0972,1296.0,68544.0,128196.0,22752.0,75.4992,3625216.0,6780144.0,1203328.0,3993.0688,12680721.0,2250552.0,7468.129199999999,399424.0,1325.4304,4.39824784,1,0,0,0,0
-118.34,34.18,46.0,1393.0,301.0,714.0,295.0,2.8125,229900.0,46.0,1393.0,714.0,295.0,2.8125,2116.0,64078.0,32844.0,13570.0,129.375,1940449.0,994602.0,410935.0,3917.8125,509796.0,210630.0,2008.125,87025.0,829.6875,7.91015625,1,0,0,0,0
-118.23,33.89,36.0,2598.0,514.0,1872.0,514.0,3.1667,117700.0,36.0,2598.0,1872.0,514.0,3.1667,1296.0,93528.0,67392.0,18504.0,114.0012,6749604.0,4863456.0,1335372.0,8227.0866,3504384.0,962208.0,5928.0624,264196.0,1627.6838,10.02798889,1,0,0,0,0
-121.65,36.67,52.0,2351.0,459.0,1169.0,439.0,2.8924,169600.0,52.0,2351.0,1169.0,439.0,2.8924,2704.0,122252.0,60788.0,22828.0,150.4048,5527201.0,2748319.0,1032089.0,6800.0324,1366561.0,513191.0,3381.2156,192721.0,1269.7636,8.36597776,1,0,0,0,0
-121.34,38.03,20.0,4213.0,751.0,2071.0,714.0,4.4063,130800.0,20.0,4213.0,2071.0,714.0,4.4063,400.0,84260.0,41420.0,14280.0,88.126,17749369.0,8725123.0,3008082.0,18563.7419,4289041.0,1478694.0,9125.4473,509796.0,3146.0982,19.41547969,0,1,0,0,0
-118.43,34.32,34.0,2657.0,515.0,1948.0,532.0,4.233,157400.0,34.0,2657.0,1948.0,532.0,4.233,1156.0,90338.0,66232.0,18088.0,143.922,7059649.0,5175836.0,1413524.0,11247.080999999998,3794704.0,1036336.0,8245.884,283024.0,2251.956,17.918288999999998,1,0,0,0,0
-118.28,33.93,21.0,847.0,278.0,1283.0,277.0,1.4329,94100.0,21.0,847.0,1283.0,277.0,1.4329,441.0,17787.0,26943.0,5817.0,30.0909,717409.0,1086701.0,234619.0,1213.6663,1646089.0,355391.0,1838.4107,76729.0,396.9133,2.0532024100000004,1,0,0,0,0
-117.34,34.16,31.0,1606.0,354.0,1049.0,335.0,2.1935,72700.0,31.0,1606.0,1049.0,335.0,2.1935,961.0,49786.0,32519.0,10385.0,67.99849999999999,2579236.0,1684694.0,538010.0,3522.7609999999995,1100401.0,351415.0,2300.9815,112225.0,734.8224999999999,4.811442249999999,0,1,0,0,0
-121.98,37.24,35.0,3574.0,485.0,1325.0,476.0,8.5425,500001.0,35.0,3574.0,1325.0,476.0,8.5425,1225.0,125090.0,46375.0,16660.0,298.9875,12773476.0,4735550.0,1701224.0,30530.895,1755625.0,630700.0,11318.8125,226576.0,4066.23,72.97430625000001,1,0,0,0,0
-123.15,38.94,22.0,2163.0,436.0,1048.0,358.0,2.7171,95800.0,22.0,2163.0,1048.0,358.0,2.7171,484.0,47586.0,23056.0,7876.0,59.7762,4678569.0,2266824.0,774354.0,5877.087299999999,1098304.0,375184.0,2847.5208,128164.0,972.7218,7.382632409999999,1,0,0,0,0
-118.28,33.98,43.0,1240.0,312.0,1100.0,311.0,1.575,97500.0,43.0,1240.0,1100.0,311.0,1.575,1849.0,53320.0,47300.0,13373.0,67.725,1537600.0,1364000.0,385640.0,1953.0,1210000.0,342100.0,1732.5,96721.0,489.825,2.480625,1,0,0,0,0
-122.31,40.89,18.0,754.0,161.0,247.0,107.0,2.2583,78800.0,18.0,754.0,247.0,107.0,2.2583,324.0,13572.0,4446.0,1926.0,40.6494,568516.0,186238.0,80678.0,1702.7582000000002,61009.0,26429.0,557.8001,11449.0,241.6381,5.0999188900000005,0,1,0,0,0
-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,292000.0,52.0,2070.0,722.0,306.0,5.4171,2704.0,107640.0,37544.0,15912.0,281.6892,4284900.0,1494540.0,633420.0,11213.397,521284.0,220932.0,3911.1462,93636.0,1657.6326,29.34497241,0,0,0,1,0
-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,42500.0,15.0,202.0,145.0,40.0,0.8252,225.0,3030.0,2175.0,600.0,12.378,40804.0,29290.0,8080.0,166.6904,21025.0,5800.0,119.654,1600.0,33.008,0.6809550400000001,0,1,0,0,0
-118.26,34.08,46.0,945.0,250.0,910.0,252.0,3.5039,187500.0,46.0,945.0,910.0,252.0,3.5039,2116.0,43470.0,41860.0,11592.0,161.1794,893025.0,859950.0,238140.0,3311.1855,828100.0,229320.0,3188.549,63504.0,882.9828,12.27731521,1,0,0,0,0
